levelId	levelType	controller	controllerType	ability	class	dependsOn	phaseIndex
Workbench	Level	DraggablesForTargets	Draggables		gated	ToolsController	
Wrong Aspect Papers	Level	Fit Rect	Draggables		always-on		
Procedural Grid Puzzle	Level	Grid Puzzle	GridPuzzle	Grids	always-on		
Pencils (Randomized)	Level	Ordered	DraggablesOrdered	Ordering	always-on		
Post-It Notes (Randomized)	Level	Draggable	Draggables		always-on		
Stamps (Randomized)	Level	Stamps Pattern	Draggables		always-on		
Batteries (Randomized)	Level	Controller	Draggables		always-on		
Books (Randomized)	Level	Shuffle	Shuffleables	Swapping	always-on		
Books (Randomized)	Level	Draggables	Draggables		seed-varying		
GoodTidings_Cookies	Level	RowColSets	GridPuzzle	Grids	always-on		
GoodTidings_Popcorn	Level	TopRow	ShuffleablesRepeatingPattern	Swapping	always-on		
GoodTidings_Popcorn	Level	MidRow	ShuffleablesRepeatingPattern	Swapping	always-on		
GoodTidings_Popcorn	Level	BotRow	ShuffleablesRepeatingPattern	Swapping	always-on		
GoodTidings_Wreath	Level	Symmetrical Placeables	SymmetricalPlaceables	Symmetry	always-on		
GoodTidings_Presents (Stacked)	Level	Stacked Boxes	StackableGrid	Grids	always-on		
GoodTidings_Cookies (Jigsaw)	Level	Match Candy Cane	DraggablesJigsaw	Jigsaw	always-on		
GoodTidings_Cookies (Jigsaw)	Level	Match Reindeer	DraggablesJigsaw	Jigsaw	gated	Match Candy Cane;Match Gingerbread Man;Match Snowflake;Match Tree	
GoodTidings_Cookies (Jigsaw)	Level	Match Gingerbread Man	DraggablesJigsaw	Jigsaw	always-on		
GoodTidings_Cookies (Jigsaw)	Level	Match Snowflake	DraggablesJigsaw	Jigsaw	always-on		
GoodTidings_Cookies (Jigsaw)	Level	Match Tree	DraggablesJigsaw	Jigsaw	always-on		
GoodTidings_Ornament Box	Level	BulbsBox	Draggables		always-on		
SomethingEggstra PaintedEggs	Level	RowColSets	GridPuzzle	Grids	always-on		
SomethingEggstra Egg Cups	Level	Shuffleables Cups	ShuffleablesRelative	Swapping	mutual	Shuffleables Eggs	
SomethingEggstra Egg Cups	Level	Shuffleables Eggs	ShuffleablesRelative	Swapping	mutual	Shuffleables Cups	
SomethingEggstra Fridge	Level	StandardObjects	Draggables		gated	EggsContainable	
SomethingEggstra Fridge	Level	Stackables (Tupperware)	StackablesY	Stacking	always-on		
SomethingEggstra Fridge	Level	EggsContainable	Containables	Containers	always-on		
SomethingEggstra Broken Eggs	Level	Egg #1 Shards	Pannables	?	non-puzzle		
SomethingEggstra Broken Eggs	Level	Egg #2 Shards	Pannables	?	non-puzzle		
SomethingEggstra Broken Eggs	Level	Egg #3 Shards	Pannables	?	non-puzzle		
SomethingEggstra Broken Eggs	Level	Egg #1 (Center) Draggables	Draggables		always-on		
SomethingEggstra Broken Eggs	Level	Egg #2 (Left) Draggables	Draggables		always-on		
SomethingEggstra Broken Eggs	Level	Egg #3 (Right) Draggables	Draggables		always-on		
TrickOrTidy_Bats	Level	Interlocking	Draggables		always-on		
TrickOrTidy_Bones	Level	Match Bones	DraggablesJigsaw	Jigsaw	always-on		
TrickOrTidy_Candy	Level	Grouped	Groupables	Gadgets	always-on		
TrickOrTidy_ChocolateBars	Level	Design (Shuffle)	Shuffleables	Swapping	always-on		
TrickOrTidy_ChocolateBars	Level	Height (Draggables)	Draggables		always-on		
TrickOrTidy_JackOLanterns	Level	Ordered	Shuffleables	Swapping	always-on		
MerryMess_CandyCanes	Level	Match Candy Cane (1)	DraggablesJigsaw	Jigsaw	always-on		
MerryMess_CandyCanes	Level	Match Candy Cane (2)	DraggablesJigsaw	Jigsaw	always-on		
MerryMess_CandyCanes	Level	Match Candy Cane (3)	DraggablesJigsaw	Jigsaw	always-on		
MerryMess_CandyCanes	Level	Match Candy Cane (4)	DraggablesJigsaw	Jigsaw	always-on		
MerryMess_CandyCanes	Level	Match Candy Cane (5)	DraggablesJigsaw	Jigsaw	always-on		
MerryMess_CandyCanes	Level	Ordered	DraggablesOrdered	Ordering	gated	Match Candy Cane (1);Match Candy Cane (2);Match Candy Cane (3);Match Candy Cane (4);Match Candy Cane (5)	
MerryMess_Crackers	Level	Build Train	Draggables		gated	CrackerShuffleables	
MerryMess_Crackers	Level	CrackerShuffleables	CrackersShuffleables	Swapping	always-on		
MerryMess_SnowGlobes	Level	Match Pan (Draggables)	Draggables		always-on		
MerryMess_SnowGlobes	Level	Pannables (Action Only)	Pannables	?	non-puzzle		
MerryMess_Presents	Level	Presents Aligned	Pannables	?	non-puzzle		
MerryMess_NutCrackers	Level	Shuffle	Shuffleables	Swapping	always-on		
NeatStreak_Paper Plane Supplies	Level	Draggables	Draggables		gated	Drawer Controller	
NeatStreak_Paper Plane Supplies	Level	Containables	Containables	Containers	gated	Drawer Controller	
NeatStreak_Paper Plane Supplies	Level	Drawer Controller	DrawerController	Furniture	always-on		
NeatStreak_Paper Plane Supplies	Level	ChalkPurple Jigsaw	DraggablesJigsaw	Jigsaw	always-on		
NeatStreak_Paper Plane Supplies	Level	ChalkBlue Jigsaw	DraggablesJigsaw	Jigsaw	always-on		
NeatStreak_Paper Plane Supplies	Level	ChalkGreen Jigsaw	DraggablesJigsaw	Jigsaw	always-on		
NeatStreak_Paper Plane Supplies	Level	ChalkMint Jigsaw	DraggablesJigsaw	Jigsaw	always-on		
NeatStreak_Paper Plane Supplies	Level	ChalkYellow Jigsaw	DraggablesJigsaw	Jigsaw	always-on		
NeatStreak_Paper Plane Supplies	Level	ChalkPink Jigsaw	DraggablesJigsaw	Jigsaw	always-on		
NeatStreak_Paper Plane Supplies	Level	ChalkRed Jigsaw	DraggablesJigsaw	Jigsaw	always-on		
NeatStreak_Paper Plane Supplies	Level	Chalk DraggablesOrdered	DraggablesOrdered	Ordering	gated	ChalkPurple Jigsaw;ChalkBlue Jigsaw;ChalkGreen Jigsaw;ChalkMint Jigsaw;ChalkYellow Jigsaw;ChalkPink Jigsaw;ChalkRed Jigsaw	
NeatStreak_Tool Drawer	Level	Draggables	Draggables		gated	Drawer Controller	
NeatStreak_Tool Drawer	Level	Containables	Containables	Containers	gated	Drawer Controller	
NeatStreak_Tool Drawer	Level	Drawer Controller	DrawerController	Furniture	always-on		
NeatStreak_Bathroom Drawer	Level	Draggables	Draggables		gated	Drawer Controller	
NeatStreak_Bathroom Drawer	Level	Bottle Containables	Containables	Containers	gated	Drawer Controller	
NeatStreak_Bathroom Drawer	Level	Drawer Controller	DrawerController	Furniture	always-on		
NeatStreak_Bathroom Drawer	Level	Indexable	Indexables	Ordering	gated	Drawer Controller	
SnackPack Sandwich	Level	Stack Ingredients	StackablesZ	Stacking	always-on		
SnackPack Pretzels	Level	Ordered	Shuffleables	Swapping	always-on		
SnackPack Cereal	Level	Draggables Controller	Draggables		always-on		
