# What screen each level in the run pool ends on, both DLCs included
# (173 levels, re-read 2026-09-25; the first read, 2026-09-13, had 111).
#
# Read from LevelManager.m_allLevelInterfaces in one frame at the title
# screen, via the DevTools "endings" command - no level is loaded, so
# every row is the authored value rather than one session of play.
#
# showRetryMenu is the one that matters: 1 means the three-button panel
# (restart / pause menu / next arrow), 0 means the run moves straight on.
# It is the GAME deciding, not the mod - see CHANGELOG 0.3.2. During a run
# the mod overrides it for the running slot (RetryPanel): the panel while a
# level with several solutions still has some to find, straight on otherwise.
# solutions is levels.json solutionCount.
#
source	levelIndex	levelId	display	showRetryMenu	preventRetryMenu	completeSilently	solutions
base	67	Gems (Jigsaw)	Gems (Jigsaw)	1	0	0	1
base	61	Gems (Simple)	Gems (Simple)	1	0	0	3
base	23	Jars	Jars	1	0	0	3
base	44	Junk Drawer	Junk Drawer	1	0	0	1
base	47	Keys	Keys	1	0	0	3
base	80	Lamp	Lamp	1	0	0	1
base	59	Leaves	Leaves	1	0	0	3
base	43	Light Bulbs	Light Bulbs	1	0	0	1
base	77	Matchboxes	Matchboxes	1	0	0	1
base	49	MedicineCabinet	Medicine Cabinet	1	0	0	1
base	79	Mirror	Mirror	1	0	0	1
base	5	Multiple Frames	Multiple Frames	1	0	0	1
base	8	NES Games	NES Games	1	0	0	1
base	45	PaintCans	Paint Cans	1	0	0	2
base	48	PartsOrganizer	Parts Organizer	1	0	0	1
base	30	Pasta	Pasta	1	0	0	1
base	57	PawPrints	Paw Prints	1	0	0	1
base	16	Pencils 3	Pencils 3	1	0	0	3
base	32	Place Setting	Place Setting	1	0	0	1
base	60	Plant Pots	Plant Pots	1	0	0	1
base	33	Plate	Plate	1	0	0	1
base	4	Post-It Notes Scribble #1 (Simple Line)	Post-It Notes Scribble #1 (Simple Line)	1	0	0	1
base	10	Post-It Notes Scribble #2 (3x3 Grid)	Post-It Notes Scribble #2 (3x3 Grid)	1	0	0	1
base	15	Post-It Notes Scribble #3 (5x3 Grid)	Post-It Notes Scribble #3 (5x3 Grid)	1	0	0	1
base	81	Radial Dance Party	Radial Dance Party	0	0	1	1
base	20	Record Player	Record Player	1	0	0	1
base	64	Rock Collection	Rock Collection	1	0	0	1
base	66	Rock Gradient	Rock Gradient	1	0	0	2
base	65	Seed Pods	Seed Pods	1	0	0	1
base	19	Sharp Pencils	Sharp Pencils	1	0	0	2
base	22	Soup Cans	Soup Cans	1	0	0	2
base	24	Spoons	Spoons	1	0	0	2
base	6	Stacked Papers	Stacked Papers	1	0	0	1
base	9	Stamps	Stamps	1	0	0	1
base	52	Storage Boxes	Storage Boxes	1	0	0	2
base	11	Tacks	Tacks	1	0	0	1
base	63	Trim Plant (Vines)	Trim Plant (Vines)	1	0	0	1
base	82	TupperwareNesting	Tupperware Nesting	0	1	1	1
base	83	TupperwareTower	Tupperware Tower	0	1	1	1
base	42	UtensilsDrawer	Utensils Drawer	1	0	0	1
base	54	Wilting Flowers	Wilting Flowers	1	0	0	1
base	50	Workbench	Workbench	1	0	0	1
base	17	Wrong Aspect Papers	Wrong Aspect Papers	1	0	0	1
dlc1	1104	DLC1 Bathroom Cupboard	Bathroom Cupboard (Cupboards and Drawers)	1	0	0	1
dlc1	1128	DLC1 Boss	Boss (Cupboards and Drawers)	0	1	0	1
dlc1	1100	DLC1 Clock Cupboard	Clock Cupboard (Cupboards and Drawers)	1	0	0	1
dlc1	1120	DLC1 Coin Box	Coin Box (Cupboards and Drawers)	1	0	0	3
dlc1	1101	DLC1 Craft Supplies	Craft Supplies (Cupboards and Drawers)	1	0	0	1
dlc1	1124	DLC1 Daggers	Daggers (Cupboards and Drawers)	1	0	0	1
dlc1	1114	DLC1 Filing Cabinet	Filing Cabinet (Cupboards and Drawers)	1	0	0	3
dlc1	1115	DLC1 Fossils	Fossils (Cupboards and Drawers)	1	0	0	1
dlc1	1102	DLC1 Fountain Pens	Fountain Pens (Cupboards and Drawers)	1	0	0	4
dlc1	1117	DLC1 Game Pieces	Game Pieces (Cupboards and Drawers)	1	0	0	1
dlc1	1122	DLC1 Jewelry Box	Jewelry Box (Cupboards and Drawers)	1	0	0	1
dlc1	1113	DLC1 Junk Drawer 2	Junk Drawer 2 (Cupboards and Drawers)	1	0	0	1
dlc1	1107	DLC1 Kitchen Hanging Tools 1	Kitchen Hanging Tools 1 (Cupboards and Drawers)	1	0	0	1
dlc1	1110	DLC1 Kitchen Hanging Tools 2	Kitchen Hanging Tools 2 (Cupboards and Drawers)	1	0	0	1
dlc1	1108	DLC1 Kitchen Utensils Drawers	Kitchen Utensils Drawers (Cupboards and Drawers)	1	0	0	1
dlc1	1106	DLC1 Lunch Tray	Lunch Tray (Cupboards and Drawers)	1	0	0	1
dlc1	1116	DLC1 Media Cabinet	Media Cabinet (Cupboards and Drawers)	1	0	0	1
dlc1	1127	DLC1 Nested Drawers	Nested Drawers (Cupboards and Drawers)	1	0	0	1
dlc1	1126	DLC1 Nesting Boxes	Nesting Boxes (Cupboards and Drawers)	1	0	0	1
dlc1	1111	DLC1 Pantry	Pantry (Cupboards and Drawers)	1	0	0	1
dlc1	1103	DLC1 Pressed Flowers	Pressed Flowers (Cupboards and Drawers)	1	0	0	1
dlc1	1121	DLC1 Sewing Box	Sewing Box (Cupboards and Drawers)	1	0	0	1
dlc1	1118	DLC1 Tackle Box	Tackle Box (Cupboards and Drawers)	1	0	0	1
dlc1	1109	DLC1 Tea Cabinet	Tea Cabinet (Cupboards and Drawers)	1	0	0	1
dlc2	1208	DLC2 Balls	Balls (Seeing Stars)	1	0	0	3
dlc2	1222	DLC2 Bells	Bells (Seeing Stars)	1	0	0	3
dlc2	1220	DLC2 Books Stacked	Books Stacked (Seeing Stars)	1	0	0	5
dlc2	1224	DLC2 Bookshelf	Bookshelf (Seeing Stars)	1	0	0	3
dlc2	1231	DLC2 Boss	Boss (Seeing Stars)	0	1	0	3
dlc2	1205	DLC2 Broken Vases	Broken Vases (Seeing Stars)	1	0	0	1
dlc2	1213	DLC2 Cacti	Cacti (Seeing Stars)	1	0	0	5
dlc2	1200	DLC2 Canapes	Canapes (Seeing Stars)	1	0	0	3
dlc2	1225	DLC2 Cat Eyes	Cat Eyes (Seeing Stars)	1	0	0	1
dlc2	1228	DLC2 Combs	Combs (Seeing Stars)	1	0	0	2
dlc2	1203	DLC2 Corn	Corn (Seeing Stars)	1	0	0	4
dlc2	1236	DLC2 Cupcakes	Cupcakes (Seeing Stars)	1	0	0	3
dlc2	1219	DLC2 Curtains	Curtains (Seeing Stars)	1	0	0	1
dlc2	1229	DLC2 First Aid Kit	First Aid Kit (Seeing Stars)	1	0	0	1
dlc2	1201	DLC2 Forks	Forks (Seeing Stars)	1	0	0	5
dlc2	1239	DLC2 Ghost Cat	Ghost Cat (Seeing Stars)	1	0	0	1
dlc2	1217	DLC2 Ink Bottles	Ink Bottles (Seeing Stars)	1	0	0	2
dlc2	1226	DLC2 Junk Drawer Transforming	Junk Drawer Transforming (Seeing Stars)	1	0	0	2
dlc2	1211	DLC2 Leftovers	Leftovers (Seeing Stars)	1	0	0	5
dlc2	1237	DLC2 Markers	Markers (Seeing Stars)	1	0	0	3
dlc2	1218	DLC2 Material Drawers	Material Drawers (Seeing Stars)	1	0	0	1
dlc2	1216	DLC2 Math Set	Math Set (Seeing Stars)	1	0	0	2
dlc2	1215	DLC2 Moths	Moths (Seeing Stars)	1	0	0	4
dlc2	1202	DLC2 Mugs	Mugs (Seeing Stars)	1	0	0	4
dlc2	1227	DLC2 Music Box	Music Box (Seeing Stars)	1	0	0	1
dlc2	1206	DLC2 Nanopets	Nanopets (Seeing Stars)	1	0	0	5
dlc2	1207	DLC2 ObsoleteTech	Obsolete Tech (Seeing Stars)	1	0	0	1
dlc2	1214	DLC2 Origami	Origami (Seeing Stars)	1	0	0	1
dlc2	1210	DLC2 Pizza	Pizza (Seeing Stars)	1	0	0	4
dlc2	1204	DLC2 Pressed Leaves	Pressed Leaves (Seeing Stars)	1	0	0	3
dlc2	1230	DLC2 Robots	Robots (Seeing Stars)	1	0	0	2
dlc2	1221	DLC2 Sticky Drawer	Sticky Drawer (Seeing Stars)	1	0	0	1
dlc2	1238	DLC2 Whistles	Whistles (Seeing Stars)	1	0	0	5
dlc2	1212	DLC2 Windows	Windows (Seeing Stars)	1	0	0	1
generator	996	Batteries (Randomized)	Batteries (Randomized)	0	0	0	1
generator	995	Books (Randomized)	Books (Randomized)	0	0	0	2
generator	1235	DLC2 Bread Crusts	Bread Crusts (Seeing Stars)	0	0	0	2
generator	28	Breadtags	Breadtags	0	0	0	1
generator	46	Buttons	Buttons	0	0	0	2
generator	12	Calendar	Calendar	0	0	0	1
generator	73	Clock	Clock	0	0	0	1
generator	1223	DLC2 Figurines	Figurines (Seeing Stars)	0	0	0	3
generator	69	Microscope	Microscope	0	0	0	1
generator	999	Pencils (Randomized)	Pencils (Randomized)	0	0	0	2
generator	998	Post-It Notes (Randomized)	Post-It Notes (Randomized)	0	0	0	1
generator	1000	Procedural Grid Puzzle	Procedural Grid Puzzle	0	0	0	1
generator	62	Shells	Shells	0	0	0	1
generator	26	Spice Jars	Spice Jars	0	0	0	2
generator	70	SpiderWeb	Spider Web	0	0	0	1
generator	997	Stamps (Randomized)	Stamps (Randomized)	0	0	0	1
generator	75	Telescope	Telescope	0	0	0	1
generator	58	Trim Plant	Trim Plant	0	0	0	1
generator	1125	DLC1 Trophy Cabinet	Trophy Cabinet (Cupboards and Drawers)	0	0	0	1
generator	1209	DLC2 Water Glasses	Water Glasses (Seeing Stars)	0	0	0	4
