levelIndex	levelId	solutionCount	controller	controllerType	setCount	solutionIds	note
1117	DLC1 Game Pieces	1	Right Drawer Draggables	Draggables	0		
1117	DLC1 Game Pieces	1	Heart Containables	Containables	0		
1118	DLC1 Tackle Box	1	Supplies Draggables	Draggables	0		
1118	DLC1 Tackle Box	1	Bugs DraggableOrdered	DraggablesOrdered	0		
1118	DLC1 Tackle Box	1	Weight Draggables	Draggables	1	Weight Draggables_0	
1119	DLC1 Cat Moment (Glass Bowl Interlude)	0	Controller	CatInterludeController	0		
1120	DLC1 Coin Box	3	Match-Lines	GridPuzzle	0		
1121	DLC1 Sewing Box	1	Drawers	DrawerController	0		
1121	DLC1 Sewing Box	1	Scissors Draggables	Draggables	0		
1121	DLC1 Sewing Box	1	Large Spools Draggables	Draggables	0		
1121	DLC1 Sewing Box	1	Small Spools Draggables	Draggables	0		
1121	DLC1 Sewing Box	1	Supplies Draggables	Draggables	0		
1121	DLC1 Sewing Box	1	Top Drawer Draggables	Draggables	0		
1121	DLC1 Sewing Box	1	Zipper DraggablesOrdered	DraggablesOrdered	0		
1121	DLC1 Sewing Box	1	Safety Pin DraggablesOrdered	DraggablesOrdered	0		
1121	DLC1 Sewing Box	1	Curved Needles Containables	Containables	0		
1121	DLC1 Sewing Box	1	Buttons Sortable	SortingItems_Draggables	0		
1122	DLC1 Jewelry Box	1	Drawers	DrawerController	0		
1122	DLC1 Jewelry Box	1	Watches Draggables	Draggables	0		
1122	DLC1 Jewelry Box	1	Rings Draggables	DraggablesOrdered	0		
1122	DLC1 Jewelry Box	1	Radiolaria Draggables	Draggables	0		
1122	DLC1 Jewelry Box	1	Brooches Draggables	Draggables	0		
1122	DLC1 Jewelry Box	1	Gold Bars Draggables	Draggables	0		
1122	DLC1 Jewelry Box	1	Cameos Draggables	Draggables	0		
1122	DLC1 Jewelry Box	1	Locket Containables	Containables	0		
1123	DLC1 Cat Moment (Drawer Interlude)	0	Controller	CatInterludeController	0		
1124	DLC1 Daggers	1	Drawers	DrawerExpandableController	0		
1124	DLC1 Daggers	1	Draggables	Draggables	1	Draggables_0	
1124	DLC1 Daggers	1	Drawers Draggables	Draggables	0		
1125	DLC1 Trophy Cabinet	1	Cupboard	Cupboard	0		
1125	DLC1 Trophy Cabinet	1	Items Placements Draggables	Draggables	0		
1125	DLC1 Trophy Cabinet	1	Cupboard Doors	AnimScrubbables	0		
1126	DLC1 Nesting Boxes	1	Boxes	DrawerController	0		
1126	DLC1 Nesting Boxes	1	BoxOrganizer	Draggables	1	BoxOrganizer_0	
1126	DLC1 Nesting Boxes	1	CatOrganizer	Draggables	1	CatOrganizer_0	
1127	DLC1 Nested Drawers	1	Drawers	DrawerController	0		
1127	DLC1 Nested Drawers	1	Draggables	Draggables	0		
1128	DLC1 Boss	1	KeysDraggables	Draggables	0		
1128	DLC1 Boss	1	Dining Room Draggables	Draggables	1	Dining Room Draggables_0	
1128	DLC1 Boss	1	Parking Lot Draggables	Draggables	1	Parking Lot Draggables_0	
1128	DLC1 Boss	1	Landscape Draggables	Draggables	0		
1128	DLC1 Boss	1	DrawerController	DrawerController	0		
1129	DLC1 Credits	0					|no-controllers
1200	DLC2 Canapes	3					result-threw:Il2CppException
1201	DLC2 Forks	5					result-threw:Il2CppException
1202	DLC2 Mugs	4					result-threw:Il2CppException
1203	DLC2 Corn	4					result-threw:Il2CppException
1204	DLC2 Pressed Leaves	3					result-threw:Il2CppException
1205	DLC2 Broken Vases	1					result-threw:Il2CppException
1206	DLC2 Nanopets	5					result-threw:Il2CppException
1207	DLC2 ObsoleteTech	1					result-threw:Il2CppException
1208	DLC2 Balls	3					result-threw:Il2CppException
1209	DLC2 Water Glasses	4					result-threw:Il2CppException
1210	DLC2 Pizza	4					result-threw:Il2CppException
1211	DLC2 Leftovers	5					result-threw:Il2CppException
1212	DLC2 Windows	1					result-threw:Il2CppException
1213	DLC2 Cacti	5					result-threw:Il2CppException
1214	DLC2 Origami	1					result-threw:Il2CppException
1215	DLC2 Moths	4					result-threw:Il2CppException
1216	DLC2 Math Set	2					result-threw:Il2CppException
1217	DLC2 Ink Bottles	2					result-threw:Il2CppException
1218	DLC2 Material Drawers	1					result-threw:Il2CppException
1219	DLC2 Curtains	1					result-threw:Il2CppException
1220	DLC2 Books Stacked	5					result-threw:Il2CppException
1221	DLC2 Sticky Drawer	1					result-threw:Il2CppException
1222	DLC2 Bells	3					result-threw:Il2CppException
1223	DLC2 Figurines	3					result-threw:Il2CppException
1224	DLC2 Bookshelf	3					result-threw:Il2CppException
1225	DLC2 Cat Eyes	1					result-threw:Il2CppException
1226	DLC2 Junk Drawer Transforming	2					result-threw:Il2CppException
1227	DLC2 Music Box	1					result-threw:Il2CppException
1228	DLC2 Combs	2					result-threw:Il2CppException
1229	DLC2 First Aid Kit	1					result-threw:Il2CppException
1230	DLC2 Robots	2					result-threw:Il2CppException
1231	DLC2 Boss	3					result-threw:Il2CppException
1232	DLC2 Star Finale	0					result-threw:Il2CppException
1233	DLC2 Credits	0					result-threw:Il2CppException
1235	DLC2 Bread Crusts	2					result-threw:Il2CppException
1236	DLC2 Cupcakes	3					result-threw:Il2CppException
1237	DLC2 Markers	3					result-threw:Il2CppException
1238	DLC2 Whistles	5					result-threw:Il2CppException
1239	DLC2 Ghost Cat	1					result-threw:Il2CppException
1020	NeatStreak_Paper Plane Supplies	1	Draggables	Draggables	0		
1020	NeatStreak_Paper Plane Supplies	1	Containables	Containables	0		
1020	NeatStreak_Paper Plane Supplies	1	Drawer Controller	DrawerController	0		
1020	NeatStreak_Paper Plane Supplies	1	ChalkPurple Jigsaw	DraggablesJigsaw	0		
1020	NeatStreak_Paper Plane Supplies	1	ChalkBlue Jigsaw	DraggablesJigsaw	0		
1020	NeatStreak_Paper Plane Supplies	1	ChalkGreen Jigsaw	DraggablesJigsaw	0		
1020	NeatStreak_Paper Plane Supplies	1	ChalkMint Jigsaw	DraggablesJigsaw	0		
1020	NeatStreak_Paper Plane Supplies	1	ChalkYellow Jigsaw	DraggablesJigsaw	0		
1020	NeatStreak_Paper Plane Supplies	1	ChalkPink Jigsaw	DraggablesJigsaw	0		
1020	NeatStreak_Paper Plane Supplies	1	ChalkRed Jigsaw	DraggablesJigsaw	0		
1020	NeatStreak_Paper Plane Supplies	1	Chalk DraggablesOrdered	DraggablesOrdered	0		
1021	NeatStreak_Tool Drawer	1	Draggables	Draggables	0		
1021	NeatStreak_Tool Drawer	1	Containables	Containables	0		
1021	NeatStreak_Tool Drawer	1	Drawer Controller	DrawerController	0		
1022	NeatStreak_Bathroom Drawer	1	Draggables	Draggables	0		
1022	NeatStreak_Bathroom Drawer	1	Bottle Containables	Containables	0		
1022	NeatStreak_Bathroom Drawer	1	Drawer Controller	DrawerController	0		
1022	NeatStreak_Bathroom Drawer	1	Indexable	Indexables	0		
1007	SnackPack Sandwich	1	Stack Ingredients	StackablesZ	0		
1008	SnackPack Pretzels	3	Ordered	Shuffleables	0		
1009	SnackPack Cereal	1	Draggables Controller	Draggables	0		
